PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH,AGE,TFGender,REPEAT,MISSSC,SKIPPING,TARDYSD,EXERPRAC,STUDYHMW,WORKPAY,WORKHOME,ST034Q01TA,ST034Q02TA,ST034Q03TA,ST034Q04TA,ST034Q05TA,ST034Q06TA,ST300Q01JA,ST300Q02JA,ST300Q03JA,ST300Q04JA,ST300Q05JA,ST300Q06JA,ST300Q07JA,ST300Q08JA,ST300Q09JA,ST300Q10JA,ST270Q01JA,ST270Q02JA,ST270Q03JA,ST270Q04JA,ST038Q03NA,ST038Q04NA,ST038Q05NA,ST038Q06NA,ST038Q07NA,ST038Q08NA,ST250Q01JA,ST250Q02JA,ST250Q03JA,ST250Q04JA,ST250Q05JA,ST251Q01JA,ST251Q02JA,ST251Q03JA,ST251Q04JA,ST255Q01JA,PV1MATH_target
514.18,432.461,503.228,458.471,509.412,516.673,468.915,502.332,497.392,400.727,16.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
326.316,331.708,283.339,358.072,339.25,359.625,361.266,321.777,353.156,361.14,15.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
263.352,333.784,286.719,331.746,250.426,326.677,247.54,328.911,365.186,328.534,15.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
316.639,333.032,269.745,340.992,244.683,294.26,300.581,331.457,290.388,351.563,15.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
419.314,403.925,441.972,409.764,418.047,463.865,412.238,444.022,453.041,425.106,16.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
441.907,339.288,296.023,366.76,423.502,359.095,303.422,371.728,335.069,399.701,16.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
415.259,449.59,396.864,444.056,404.678,463.182,421.961,413.923,421.486,421.837,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
520.532,543.597,471.037,511.236,479.013,521.076,498.129,530.095,532.135,482.64,16.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
350.368,371.826,418.851,424.828,428.731,412.459,398.89,379.885,402.801,349.935,15.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
367.522,356.544,341.063,356.349,363.478,306.738,373.284,341.9,359.291,370.351,16.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
